1.00000	0.00000	0.50741
2.00000	0.10000	1.00371
3.00000	0.20000	1.06383
4.00000	0.30000	1.65278
5.00000	0.40000	1.91635
6.00000	0.50000	1.98058
7.00000	0.60000	2.32485
8.00000	0.70000	2.50400
9.00000	0.80000	2.77355
10.00000	0.90000	2.96982
11.00000	1.00000	3.18515
12.00000	1.10000	3.44941
13.00000	1.20000	3.57824
14.00000	1.40000	3.84225
15.00000	1.60000	4.27510
16.00000	1.80000	4.57441
17.00000	2.00000	4.70253
18.00000	2.20000	4.97827
19.00000	2.40000	5.25318
20.00000	2.60000	5.40779
21.00000	2.80000	5.58487
22.00000	3.00000	5.69088
23.00000	3.30000	5.82061
24.00000	3.60000	5.95552
25.00000	4.00000	6.08014
26.00000	4.40000	6.12295
27.00000	4.80000	6.17483
28.00000	5.20000	6.18651
29.00000	5.60000	6.17862
30.00000	6.00000	6.20436
31.00000	6.60000	6.20149
0.00000	7.20000	6.19860
