1.00000	0.00000	0.72113
2.00000	0.10000	0.63415
3.00000	0.20000	0.46254
4.00000	0.30000	0.92494
5.00000	0.40000	1.36390
6.00000	0.50000	1.51191
7.00000	0.60000	1.80881
8.00000	0.70000	2.14204
9.00000	0.80000	2.21297
10.00000	0.90000	2.48669
11.00000	1.00000	2.64481
12.00000	1.10000	2.84142
13.00000	1.20000	3.00758
14.00000	1.30000	3.25928
15.00000	1.40000	3.43152
16.00000	1.50000	3.64704
17.00000	1.60000	3.74657
18.00000	1.70000	3.92531
19.00000	1.80000	4.11635
20.00000	1.90000	4.21984
21.00000	2.00000	4.34827
22.00000	2.20000	4.61927
23.00000	2.40000	4.88277
24.00000	2.60000	5.13218
25.00000	2.80000	5.30376
26.00000	3.00000	5.63086
27.00000	3.20000	5.59748
28.00000	3.40000	5.75284
29.00000	3.60000	5.97519
30.00000	3.80000	6.02621
31.00000	4.00000	6.16720
32.00000	4.40000	6.29161
33.00000	4.80000	6.35769
34.00000	5.20000	6.42144
35.00000	5.60000	6.46193
36.00000	6.00000	6.53078
37.00000	6.60000	6.54611
38.00000	7.20000	6.54619
39.00000	7.80000	6.54830
40.00000	8.40000	6.50776
0.00000	9.00000	6.51480
